q1,av1,ai1
Spriedze,-2,3
jautri,4,0
uzmundrinājums,4,2
Gandarījums,2,3
apbrīna un pacilātība,4,3
Bailes,1,3
Priecīga,4,3
šausmas..,1,2
Prieks un laime.,4,-2
Vienaldzība,0,0
Bezpalīdzība,1,3
Bailes no augstuma,1,3
Jautrība un lietišķs apbrīns,2,0
apmulsums,-2,2
Nepatika,-2,2
"Galvas griešanos, bailes",1,1
Apjucis,-2,2
skumjas,-2,-1
Neizpratne,-2,0
iespringusi,-2,1
Pretīgums,-1,1
Neuzticīga,-2,2
Uztraukums,-2,4
Bīstama,1,4
riebums,1,1
"Juceklis, ķeza...",-1,1
apmierinātība,3,3
Uzjautrinājums,2,2
Šaušalas,1,4
Bailes,1,4
"Nesapratne, šoks",-2,1
Apjukumu,1,1
Neuzticība,1,0
Žēlums,-1,-1
Šķebinoša,1,4
Garlaicība,0,-2
Satraukums,1,3
skumjas,1,-1
izsalkums,-1,4
Nenopietns.,-1,2
Tizla bezpalīdzība...,-1,1
pusdienas,0,0
Bedīgi,0,0
Sašutums,-2,0
trauksme,-2,0
Apjukums,-1,1
Cieņa,3,-2
Apjukumu,-1,0
pieņemoša,-2,3
Bailes,-2,1
cik nežēlīga ir šī daba un barības ķēde,1,3
apbrīna,3,-1
Jautrums,4,4
riebums,1,3
žēlums,1,0
Dabas kārtība,0,0
nepatika,1,2
Dusmas,1,1
Žēlsirdību,-1,-1
Prieku/ uzjautrinātību,4,4
"Nepatika, apjukums",-2,3
Nervozitāte.,1,4
dusmīga,1,-1
Daba,0,-2
steiga,0,2
Kontrolēts neprāts.,-1,3
"Labsajūta, prieks, un arī uzjautrinājums par sejas izteiksmēm video beigās",4,4
šausmas,1,3
Gandarījumu,1,0
Nepatika,-1,0
gaidas,0,0
Uztraukums,-2,2
smieklīgi,4,4
Šausmas,1,4
Riebumu,1,2
Nemieru,-1,1
nesapratne,-1,1
Satraucoši,1,1
"Briesmu trauksme, žēlums",-2,2
Vienaldzība,0,0
Satraukums,0,0
instinkts,0,1
nope attack,-2,2
Trauksmi,0,4
Interesanti,0,0
Izsmiekls,4,4
Priecīga,3,1
Bailes/riebums,1,0
Ieinteresēta,1,3
prieku,4,3
Neērtības sajūta,-2,2
satraukums,-2,4
Vienaldzība,0,1
Bailes,-2,0
pretīgums,-2,-2
apbrīna,2,3
Tukshums,0,-2
"tas nav priekš manis, bailīgi",-2,2
Gandarījums,3,3
tīksme,0,-1
Patīkams,1,0
Šausmas,-2,3
Apmierinājums,1,0
šausmas,1,4
Pretigums,-2,3
Mīļumu,4,0
apbrīna,4,1
Nepatika,1,2
pretīgums,1,3
Aizrautība,1,0
Koncentrēšanos,2,2
Pretīgums,1,1
"Garlaicība sākotnēji, tad pārsteigums",0,1
Pārsteigumu,4,4
Šoks,1,2
Izbrīns,2,3
Lepns,4,4
drosme,4,0
Apbrīns,4,4
interese,1,2
pabeigtība,4,1
Apmierināts.,4,1
Kaut kādas strukturētas manipulācijas...,2,2
īssavienojums,-2,0
Kreatīvi,0,0
Prieks,1,2
Pretīgi,-1,1
"Neitrālas izjūtas, liekas interesanti",0,-1
šausmas,1,1
Diskomfortu,-1,0
intriga,3,3
Radošums,2,0
"wow iespaidīgi, forši",4,4
Bailes,1,4
bailes,1,4
nekādu,1,1
apmierinātība,4,1
Apmierinātība,3,-2
Ieinstersētība,4,4
Apmierinātība,3,-2
Garlaicību,-1,-1
riebums,1,3
"Ziņkārīgais apbrīns, sajūsma, ieintriģēta",3,2
Bailes,1,3
ieinteresēta,3,0
Tukšums,1,1
Vienaldzību,0,0
Satraukums,-2,2
Šermuļi,1,3
atvieglojums,3,-1
Mierpilna,4,-2
Izbrīns,1,1
"Pretīgums, trauksme, bailes",-2,1
Interese,4,1
Pretīgums,1,-2
Laime,4,2
Interesi,1,1
Pārsteigumu,4,-1
apmierinoša,3,1
Nepatīkama,1,-1
"Labsajūta, vieglums",3,-2
Apbrīna,1,0
Pretīgums,1,1
mulsums,0,0
Nepatīkama,1,4
Bailes,-2,2
Riebums,1,2
riebums,1,-1
satraukums,2,4
Izbrīns,4,4
Pārsteigta,4,4
atvieglojums,0,0
Vienaldzību.,0,1
Riebums,-2,2
Izmisums,-2,1
cringe,-2,-1
Fujjjjjjj,1,0
bailes,-2,3
Satraukums,-1,2
Smieklīgi,-2,1
Satraukums,2,3
bailes,-1,3
satraukums,-2,1
Riebums/bailes,1,2
Sāpīgi,-2,1
"Bailes, atvieglojumu un tad pretīgumu (pašās beigās)",1,3
nobijusies,-2,3
Diskomforts/riebums,-2,1
bailes,0,4
pretīgums,1,4
Sāpes,-2,0
Panika,-2,2
Bailes,-2,4
"pretīgi, es nevaru šādus video noskatīties",1,2
Spriedze,1,3
Azartiskums (andrenalīna pieplūdums),4,4
Neizpratne,1,2
Satraukums,-2,3
Bailīga,-1,3
izvairīšanās,-2,2
Satraukums,1,3
bailes,-2,0
bailes,1,4
Nobijies.,-2,4
Stulbs piedzīvojums,-2,3
Dumb ways to die',1,1
Satraucoši,2,2
Apjukums,-2,1
Šausmas,1,0
"Uztraukums, bailes",-1,4
skumjas,1,4
Bailes vai riebums,-2,2
trauksmaina,1,4
Paniku,-2,0
"šausmas, es nevaru skatīties uz kaut ko tādu",1,3
šausmas,1,0
KORN,4,4
uztraukums,0,2
diskomforts,1,0
Bailes,-2,3
panika,1,4
Bailes,1,4
Interesi,1,1
nepatika,1,2
"Trauksme, reibums",-2,3
"ak dievs cik pretīgi, cik labi, ka tas ir video ne īstenība, man ir ļoti bails no zirnekļiem",1,4
nobijusies,1,4
Vienaldzība,-2,1
Vienaldzību,-1,0
Mīļums,2,1
"Aaaaa! Nepatika, riebums pret procesu, aizkaitinājums (dusmas?), jo grieza tīšam. Tas taču ir sāpīgi!",1,2
bailes,1,4
satraukums,-1,4
Satraukums,1,4
sāpīga emocija,1,1
Bailes,1,4
Sirnīga,2,3
Bailes,1,3
Bailes,1,1
Trauksmi,-2,-1
uztraukums,-2,2
Satraukums,1,3
Uztraukums,1,4
Inriģējoša,1,1
nepatikami,1,2
vienaldzība,-2,-2
Bailes,1,4
sāpes,1,3
pārsteigums,0,1
Šausmas,1,1
drosme,4,4
Bailes/skaudība,1,4
Bailes,-2,4
smaids,2,2
Sāpes,1,4
Adrenalīnu,3,3
Mīļums,3,-2
Sāpes,1,3
Pretīgumu,1,-1
prieks,3,3
Patika,2,-2
Riebums,-2,3
Gandarījums,3,0
prieks,2,1
Uzjautrināts,1,1
riebīga,1,2
Smiekli,1,1
saspringums,0,2
"Tādu izmisīgu 'NĒĒĒĒĒĒĒ'! :D Pretīgums, nepatika, neizbēgamu negatīvu seku sajūta",1,4
Neērtumu,-1,0
interese,4,-1
nepatika,1,2
ļoti nepatīkami,-2,2
Miers,0,-1
Siltums,3,1
"Uztraukums, trauksme!!!",1,4
"Sākotnēji neizpratne, tad interese",1,1
Nepatiku,1,1
Refleksējoš,2,-2
Prieks,4,0
Smieklīga,2,2
Uztraukumu,1,0
Uzjautrināšanos,1,0
pacilāts,3,2
apmierinātība,4,3
Vienaldzīgs.,0,1
Manipulācija,0,0
nepatika,1,2
Jauki,1,1
Uzjautrinājums,3,3
aizkustinoši,3,0
Atvieglojumu (ka nav šausmu video) un prieku,1,-1
uztraukums,0,3
Miegaina,1,1
siltums,4,3
Prieku,2,1
"normāls bērns, neko neizjūtu",1,-1
Garlaicību,0,0
Riebums,1,0
vienaldzību,0,1
prieks,3,0
Vienaldzība,0,0
jautrība,4,4
Uzjautrinātība,4,3
vienaldzība,0,-2
Pretīgi,1,4
Neitrāli garlaikota,0,0
Prieks,3,2
aizkustināta,3,3
Vienaldzība,1,1
"Pretīgi, riebums",-2,1
prieks,3,1
neveiklums,0,1
apbrīns,3,0
pretīgums,1,3
Prieks,3,2
Skaudība,-1,3
Laime,4,0
izbrīna,2,3
Prieks,4,4
Apbrīna,4,3
Prieku,4,1
prieks,2,2
Jautrums,3,-1
Aizdomīgs uzjautrinājums,0,2
Prieks,1,0
ĻOTI bailīgi,1,4
smaids,3,3
Prieks,3,0
mulsums,-2,2
uzjautrinoša,2,1
mīļums,4,4
Neērti,-1,0
Prieks,4,4
Priecīga,4,2
dusmas,1,1
Laime.,4,0
Maiga draudzība...,4,3
Nesapratne,-2,3
neapmierinātība,-2,0
neveiklība,0,1
izbrīns,3,3
Dusmas,-2,3
atmiņas,1,-1
Nepatika,1,3
dusmas,1,3
Nepatika,-2,0
šermuļi,1,4
Bailes,-1,1
Kauns,0,0
Neizpratni,-1,-2
apmulsums,-2,0
riebums,1,4
Prieks un harmonija,3,1
Apjukums,1,1
Aizkaitinājums,-2,1
Mobilizācija,-2,4
Neveiklība,-1,-1
Šoks,-2,3
Apjukumu,1,0
Dusmas,1,3
Šoks,-2,2
Dusmīga,1,4
Nesapratne,-1,-1
Dusmas,1,4
domīgs,0,-1
nesapratne,0,4
Dusmas.,1,3
Neadekvāta uzvedība un varas izmantošaba,-1,2
USA,-2,-1
Pārsteigums.,0,0
Neapmierinātība,1,2
Mulsinoša,1,1
"Skumjas un līdzjūtību, dusmas par netaisnību un to ka tas tiek pieļauts",1,4
Nepacietiba,-2,0
"Nepatīkama, trauksmaina",-2,1
neizpratne,-2,2
Dusmas,-2,2
"ārprāts, kā tā var rīkoties, tas vienkārši ir vājprāts",1,3
Neērtums,-2,3
uzjautrināts,2,1
naidigums,1,0
raizes,1,1
Taisnīgums,1,1
bailes un nepatika,1,3
Izmisums,1,3
Vienaldzība,0,0
mulsums,-1,0
"Sašutums, piesardzīgums, neizpratne, kas notiek",0,2
"Gribas smieties, bet nepatīkami.",1,0
dusmīga,1,4
"Nenosodu uzreiz, bet nesaprotu",1,-2
Neveiklums un labvēlība...,1,1
cringe,-2,-1
Awkward,0,0
dusmas,-2,4
Smieklīgi,2,1
Dusmas,-2,1
Jauki,0,0
Uztraukums,-2,3
"Prieku, jo esmu redzējusi šī cilvēka video un zinu, ka neredzot liktos neērti / awkward, bet šobrīd liekas smieklīgi",2,2
Apjukums,1,2
Pretīgumu,1,3
Dusmas,1,0
riebums,1,3
Gandarījums,2,2
"Izbīlis un vēlme darboties, pretoties, kaut ko darīt lietas labā",-2,4
Dusmas,-2,0
Neveiklums,-2,1
dusmas,-2,0
neērtums,3,2
Neveiklums,1,0
"mīļi, bet neveikli",2,2
nepatika,-2,1
uzjautrināts,2,1
Dusmas,1,4
Dusmīga,-2,4
smaids,4,4
vienaldzība,-1,0
uzjautrināta,4,2
spēks,1,3
Neveiklums,-1,2
neveiklība un kauns,1,1
pieņemšana,1,-2
Zhelestiba,-1,0
Bažas,-2,0
Ieinteresētība,3,2
sajūsma,3,2
Apbrīns,3,1
neizpratni,0,0
Piemīlīgi,1,-1
Uzjautrinājums,0,1
"Neliels apjukums, satraukums",0,1
Lepnums,4,4
skumjas,-2,-1
neveiklība,-2,2
Bailes,-2,3
Pacilātība,1,0
Respekts,2,-2
mīļums,4,-2
"Skumjas, sāpes",-1,1
Nepatiku,1,1
Pacilāta,3,2
Apbrīnojamība,1,2
Neparasti dīvaina,1,4
gaidas,3,4
Prieks,2,0
pacilāts,2,2
apbrīna,4,4
Laime.,4,-2
"Atspoguļojas puikas emocijas - lepnums, prieks",2,1
"forši, nu",2,1
Neizpratne,0,0
Prieks,3,4
Riebums,1,2
Prieks,0,-1
kauns,-2,4
Miegaina/ neitrāla,1,-2
pārsteigums un intriga,3,2
Lepnums,1,0
Cik interesanti un pozitīvi,3,3
Pretīgumu,1,0
Apmulsums,-2,0
vienaldzība,-2,0
prieks,3,1
Prieks,4,4
apbrīna un prieks,4,4
Apbrīns,4,2
Interese,0,0
Aizkaitinājums,-2,2
Interese un viegls auzkaitinājums,-1,2
Kauns par citu,1,3
nepatika/aizkaitinājums,1,0
Cerība,3,-2
Aizkaitināma,-1,-2
kauns,1,0
Prieku,4,3
atvieglojums/ieinteresētība,4,1
Cik mīļi,3,0
Gaidas,2,1
neveikla,-2,1
Prieks,3,1
Spriedze,0,1
Prieks,3,3
Apbrīna,4,2
"Prieku, pārsteigumu",4,-1
prieks,3,2
Uzjautrinošs neveiklums,-2,2
Priecīga sajūta,4,0
Ieinteresētiba,1,0
Prieku,2,0
bēdas,-2,-1
